jobTitle,jobPrimaryCategory,jobSubCategory
Software Developer,Accounting,Accounts Officers/Clerks
Influencer,Administration & Office Support,Assistant
Tester,Advertising/Arts/Media,Agency Account Management
Main Test Analyst,Banking & Financial Services,Account & Relationship Management
Payroll Officer,Call Centre & Customer Service,Collections
Communications Officer,CEO & General Management,Board Appointments
Plumber,Community Services,Aged & Disability Support
Senior Test Analyst,Construction,Contracts Management
Graphic Designer,Consulting & Strategy,Analyst
Junior Business Analyst,Design & Architecture,Architecture Drafting
Lead Designer,Education & Training,Childcare & Outside School Hours Care
Accounts Payable Officer,Engineering,Aerospace Engineering
Chief Operating Officer,Farming/Animals & Conservation,Agronomy & Farm Services
Transformation Lead,Government & Defence,Air Force
Customer Service Officer,Healthcare & Medical,Ambulance/Paramedics
Videographer,Hospitality & Tourism,Airlines
Radiologist,Human Resources & Recruitment,Consulting & Generalist HR
Store Owner,Information & Communication Technology,Architects
Product Analyst,Insurance & Superannuation,Actuarial
Team Leader,Legal,Banking & Finance Law
Electrician,Manufacturing/Transport & Logistics,Analysis & Reporting
Painter,Marketing & Communications,Brand Management
Payroll Officer,Mining/Resources & Energy,Analysis & Reporting
Graphic Designer,Real Estate & Property,Administration
Social Media Producer,Retail & Consumer Products,Buying
Barista,Sales,Account & Relationship Management
Web Developer,Science & Technology,Biological & Biomedical Sciences
Leader Designer,Self Employment,Self Employment
Plumber,Sport & Recreation,Coaching & Instruction
