jobTitle,jobCategoryPrimary,jobCategorySecondary,jobCategoryTertiary
Software Developer,Accounting,Accounts Officers/Clerks,Accounts Payable
Influencer,Administration & Office Support,Assistant,Contracts
Tester,Advertising/Arts/Media,Agency Account Management,Art Direction
Main Test Analyst,Banking & Financial Services,Account & Relationship Management,Analysis & Reporting
Payroll Officer,Call Centre & Customer Service,Collections,Call Centre
Communications Officer,CEO & General Management,Board Appointments,CEO
Plumber,Community Services,Aged & Disability Support,Child Welfare/Youth & Family Services
Senior Test Analyst,Construction,Contracts Management,Estimating
Graphic Designer,Consulting & Strategy,Analyst,Corporate Development
Junior Business Analyst,Design & Architecture,Architecture Drafting,Architecture
Lead Designer,Education & Training,Childcare & Outside School Hours Care,Library Services
Accounts Payable Officer,Engineering,Aerospace Engineering,Automotive Engineering
Chief Operating Officer,Farming/Animals & Conservation,Agronomy & Farm Services,Conservation/Parks & Wildlife
Transformation Lead,Government & Defence,Air Force,Army
Customer Service Officer,Healthcare & Medical,Ambulance/Paramedics,Chiropractic & Osteopathic
Videographer,Hospitality & Tourism,Airlines,Bar & Beverage Staff
Radiologist,Human Resources & Recruitment,Consulting & Generalist HR,Industrial & Employee Relations
Store Owner,Information & Communication Technology,Architects,Business/Systems Analyst
Product Analyst,Insurance & Superannuation,Actuarial,Assessment
Team Leader,Legal,Banking & Finance Law,Construction Law
Electrician,Manufacturing/Transport & Logistics,Analysis & Reporting,Assembly & Process Work
Painter,Marketing & Communications,Brand Management,Digital & Search Marketing
Payroll Officer,Mining/Resources & Energy,Analysis & Reporting,Health/Safety & Environment
Graphic Designer,Real Estate & Property,Administration,Analysts
Social Media Producer,Retail & Consumer Products,Buying,Management - Area/Multi-site
Barista,Sales,Account & Relationship Management,Analysis & Reporting
Web Developer,Science & Technology,Biological & Biomedical Sciences,Biotechnology & Genetics
Leader Designer,Self Employment,Self Employment,Other
Plumber,Sport & Recreation,Coaching & Instruction,Fitness & Personal Training
